experiment,explainer_type,ml_model_type,use_permitted_range,total_cfs_requested,maxiterations,stopping_threshold,n_patients,total_cfs,valid_cfs,validity_%,solved_%,avg_nchanged,avg_nchanged_all,avg_gower_valid,avg_risk_before_%,avg_risk_after_%,min_risk_after_%,risk_reduction_%,total_gen_time_sec,avg_gen_time_sec,top_features,csv_path
XGBoost_thres0.5_2026-05-07,genetic,XGBoost,True,10,1000,0.50,9,90,28,31.1%,77.8%,2.82,2.47,0.94,,14.4,0.0,,9.69,1.08,bmi: 100%  |  alcfreq: 46%  |  dosprt: 46%  |  etfruit: 36%,predictors_vs_threshold/SMOTE/base_predictors/XGBoost_thres0.5_2026-05-07
XGBoost_thres0.9_2026-05-07,genetic,XGBoost,True,10,1000,0.90,9,52,22,42.3%,77.8%,2.45,2.37,0.96,,10.7,0.0,,9.52,1.06,bmi: 100%  |  dosprt: 45%  |  alcfreq: 36%  |  etfruit: 23%,predictors_vs_threshold/SMOTE/base_predictors/XGBoost_thres0.9_2026-05-07
RandomForest_thres0.5_2026-05-07,genetic,RandomForest,True,10,1000,0.50,9,90,6,6.7%,22.2%,3.17,2.29,0.89,,14.8,10.8,,35.11,3.90,bmi: 100%  |  slprl: 67%  |  etfruit: 50%  |  alcfreq: 33%,predictors_vs_threshold/SMOTE/gridsearched_predictors/RandomForest_thres0.5_2026-05-07
RandomForest_thres0.9_2026-05-07,genetic,RandomForest,True,10,1000,0.90,9,34,8,23.5%,44.4%,3.25,2.50,0.90,,15.9,10.1,,34.62,3.85,bmi: 100%  |  slprl: 62%  |  dosprt: 62%  |  alcfreq: 38%,predictors_vs_threshold/SMOTE/gridsearched_predictors/RandomForest_thres0.9_2026-05-07
XGBoost_thres0.5_2026-05-07,genetic,XGBoost,True,10,1000,0.50,9,87,18,20.7%,66.7%,3.17,2.43,0.91,,16.8,7.1,,100.07,11.12,bmi: 100%  |  alcfreq: 61%  |  dosprt: 61%  |  cgtsmok: 39%,predictors_vs_threshold/SMOTE/gridsearched_predictors/XGBoost_thres0.5_2026-05-07
base_rf_highthres_2026-05-06,genetic,RandomForest,True,10,1000,0.90,9,84,35,41.7%,100.0%,2.43,2.20,0.95,,2.8,0.0,,23.81,2.65,bmi: 100%  |  alcfreq: 37%  |  slprl: 37%  |  etfruit: 23%,predictors_vs_threshold/baseline/base_rf_highthres_2026-05-06
base_rf_lowthres_2026-05-05,genetic,RandomForest,True,10,1000,0.10,9,61,31,50.8%,100.0%,2.26,2.20,0.95,11.0,2.8,0.0,73.0,23.90,2.66,bmi: 100%  |  slprl: 35%  |  alcfreq: 29%  |  dosprt: 26%,predictors_vs_threshold/baseline/base_rf_lowthres_2026-05-05
base_rf_midthres_2026-05-06,genetic,RandomForest,True,10,1000,0.50,9,90,34,37.8%,88.9%,2.26,2.19,0.94,,3.1,0.0,,23.44,2.60,bmi: 100%  |  slprl: 32%  |  alcfreq: 26%  |  etfruit: 21%,predictors_vs_threshold/baseline/base_rf_midthres_2026-05-06
base_xgb_highthres_2026-05-06,genetic,XGBoost,True,10,1000,0.90,9,82,47,57.3%,77.8%,2.32,2.20,0.93,,2.9,0.0,,9.40,1.04,bmi: 100%  |  etfruit: 28%  |  alcfreq: 28%  |  slprl: 23%,predictors_vs_threshold/baseline/base_xgb_highthres_2026-05-06
base_xgb_lowthres_2026-05-06,genetic,XGBoost,True,10,1000,0.10,9,69,39,56.5%,77.8%,2.36,2.13,0.94,,2.7,0.1,,9.89,1.10,bmi: 100%  |  etfruit: 31%  |  slprl: 26%  |  alcfreq: 23%,predictors_vs_threshold/baseline/base_xgb_lowthres_2026-05-06
base_xgb_midthres_2026-05-06,genetic,XGBoost,True,10,1000,0.50,9,90,42,46.7%,88.9%,2.36,2.16,0.92,,2.5,0.0,,9.41,1.05,bmi: 100%  |  etfruit: 29%  |  eatveg: 26%  |  slprl: 24%,predictors_vs_threshold/baseline/base_xgb_midthres_2026-05-06
rf_2026-05-04,genetic,RandomForest,True,20,1000,0.40,9,118,1,0.8%,11.1%,4.00,2.48,0.35,44.7,26.4,26.4,50.4,49.64,5.52,eatveg: 100%  |  alcfreq: 100%  |  slprl: 100%  |  bmi: 100%,predictors_vs_threshold/weighted/rf_2026-05-04
xgb_2026-05-04,genetic,XGBoost,True,20,1000,0.40,9,120,31,25.8%,66.7%,3.42,2.65,0.24,47.7,23.7,10.6,60.1,20.27,2.25,bmi: 100%  |  dosprt: 68%  |  alcfreq: 61%  |  slprl: 52%,predictors_vs_threshold/weighted/xgb_2026-05-04
XGBoost_thres0.1_2026-05-07,genetic,XGBoost,True,10,1000,0.10,9,69,33,47.8%,88.9%,2.73,2.30,0.93,,1.2,0.0,,10.82,1.20,bmi: 100%  |  etfruit: 42%  |  alcfreq: 33%  |  eatveg: 27%,predictors_vs_threshold/xgb_optimized/XGBoost_thres0.1_2026-05-07
XGBoost_thres0.5_2026-05-07,genetic,XGBoost,True,10,1000,0.50,9,90,29,32.2%,88.9%,2.79,2.42,0.92,,0.9,0.0,,11.10,1.23,bmi: 100%  |  etfruit: 45%  |  alcfreq: 38%  |  dosprt: 38%,predictors_vs_threshold/xgb_optimized/XGBoost_thres0.5_2026-05-07
XGBoost_thres0.9_2026-05-07,genetic,XGBoost,True,10,1000,0.90,9,85,35,41.2%,100.0%,2.49,2.27,0.94,,1.2,0.1,,10.67,1.19,bmi: 100%  |  etfruit: 46%  |  alcfreq: 31%  |  eatveg: 26%,predictors_vs_threshold/xgb_optimized/XGBoost_thres0.9_2026-05-07
