experiment,n_patients,total_cfs,valid_cfs,validity_%,solved_%,avg_nchanged,avg_nchanged_all,avg_gower_valid,avg_risk_before_%,avg_risk_after_%,min_risk_after_%,risk_reduction_%,avg_gen_time_sec,top_features,csv_path
XGBoost_thres0.5_2026-05-07,9,90,28,31.11111111111111,77.8,2.82,2.47,0.9421,34.5,14.4,0.0,58.3,1.08,bmi: 100%  |  alcfreq: 46%  |  dosprt: 46%  |  etfruit: 36%,cf_outputs\predictors_vs_threshold\SMOTE\base_predictors\XGBoost_thres0.5_2026-05-07\annotated.csv
XGBoost_thres0.9_2026-05-07,9,52,22,42.30769230769231,77.8,2.45,2.37,0.9578,25.5,10.7,0.0,58.0,1.06,bmi: 100%  |  dosprt: 45%  |  alcfreq: 36%  |  etfruit: 23%,cf_outputs\predictors_vs_threshold\SMOTE\base_predictors\XGBoost_thres0.9_2026-05-07\annotated.csv
RandomForest_thres0.5_2026-05-07,9,90,6,6.666666666666667,22.2,3.17,2.29,0.8877,34.8,14.8,10.8,57.5,3.9,bmi: 100%  |  slprl: 67%  |  etfruit: 50%  |  alcfreq: 33%,cf_outputs\predictors_vs_threshold\SMOTE\gridsearched_predictors\RandomForest_thres0.5_2026-05-07\annotated.csv
RandomForest_thres0.9_2026-05-07,9,34,8,23.52941176470588,44.4,3.25,2.5,0.9045,27.1,15.9,10.1,41.3,3.85,bmi: 100%  |  slprl: 62%  |  dosprt: 62%  |  alcfreq: 38%,cf_outputs\predictors_vs_threshold\SMOTE\gridsearched_predictors\RandomForest_thres0.9_2026-05-07\annotated.csv
XGBoost_thres0.5_2026-05-07,9,87,18,20.689655172413794,66.7,3.17,2.43,0.9103,39.3,16.8,7.1,57.3,11.12,bmi: 100%  |  alcfreq: 61%  |  dosprt: 61%  |  cgtsmok: 39%,cf_outputs\predictors_vs_threshold\SMOTE\gridsearched_predictors\XGBoost_thres0.5_2026-05-07\annotated.csv
rf_2026-05-04,9,118,1,0.847457627118644,11.1,,,,40.5,26.4,26.4,34.8,5.52,eatveg: 100%  |  alcfreq: 100%  |  slprl: 100%  |  bmi: 100%,cf_outputs\predictors_vs_threshold\weighted\rf_2026-05-04\annotated.csv
xgb_2026-05-04,9,120,31,25.833333333333336,66.7,,,,42.9,23.7,10.6,44.8,2.25,bmi: 100%  |  dosprt: 68%  |  alcfreq: 61%  |  slprl: 52%,cf_outputs\predictors_vs_threshold\weighted\xgb_2026-05-04\annotated.csv
XGBoost_thres0.1_2026-05-07,9,69,33,47.82608695652174,88.9,2.73,2.3,0.9309,6.5,1.2,0.0,81.5,1.2,bmi: 100%  |  etfruit: 42%  |  alcfreq: 33%  |  eatveg: 27%,cf_outputs\predictors_vs_threshold\xgb_optimized\XGBoost_thres0.1_2026-05-07\annotated.csv
XGBoost_thres0.5_2026-05-07,9,90,29,32.22222222222222,88.9,2.79,2.42,0.9217,6.3,0.9,0.0,85.7,1.23,bmi: 100%  |  etfruit: 45%  |  alcfreq: 38%  |  dosprt: 38%,cf_outputs\predictors_vs_threshold\xgb_optimized\XGBoost_thres0.5_2026-05-07\annotated.csv
XGBoost_thres0.9_2026-05-07,9,85,35,41.17647058823529,100.0,2.49,2.27,0.938,6.3,1.2,0.1,81.0,1.19,bmi: 100%  |  etfruit: 46%  |  alcfreq: 31%  |  eatveg: 26%,cf_outputs\predictors_vs_threshold\xgb_optimized\XGBoost_thres0.9_2026-05-07\annotated.csv
