run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,xgb__n_estimators,xgb__max_depth,xgb__learning_rate,xgb__subsample,xgb__colsample_bytree,xgb__min_child_weight,xgb__gamma,xgb__scale_pos_weight,xgb__reg_lambda,xgb__reg_alpha
002,2.546,0.132,0.308,0.017,0.519,0.527,0.523,0.528,0.513,0.522,0.005,5,887.0,12.0,0.281,0.696,0.688,6.0,0.327,,7.095,0.005
002,1.887,0.07,0.233,0.011,0.52,0.523,0.523,0.521,0.521,0.522,0.001,6,543.0,11.0,0.235,0.479,0.867,6.0,0.244,,1.063,0.085
002,2.146,0.053,0.223,0.006,0.517,0.529,0.524,0.522,0.516,0.522,0.005,7,912.0,9.0,0.191,0.525,0.844,2.0,0.469,,1.819,1.219
002,1.601,0.027,0.173,0.01,0.516,0.519,0.524,0.527,0.521,0.522,0.004,8,692.0,12.0,0.266,0.335,0.906,5.0,1.018,,6.549,0.127
002,3.325,0.068,0.404,0.015,0.517,0.53,0.524,0.522,0.514,0.521,0.006,9,980.0,12.0,0.235,0.583,0.68,1.0,0.083,,5.742,1.659
002,2.755,0.121,0.334,0.018,0.515,0.526,0.517,0.532,0.517,0.521,0.006,10,736.0,13.0,0.188,0.346,0.977,5.0,0.124,,3.531,0.53
002,3.023,0.029,0.348,0.02,0.522,0.521,0.517,0.532,0.513,0.521,0.006,11,1111.0,10.0,0.265,0.499,0.67,7.0,0.026,,4.037,1.212
002,3.572,0.074,0.493,0.053,0.514,0.525,0.525,0.527,0.514,0.521,0.006,12,1093.0,12.0,0.208,0.575,0.875,4.0,0.172,,5.174,0.646
002,2.012,0.059,0.248,0.015,0.519,0.524,0.517,0.521,0.521,0.52,0.003,13,713.0,12.0,0.175,0.63,0.681,4.0,0.388,,1.884,0.126
002,2.32,0.095,0.249,0.028,0.518,0.528,0.519,0.526,0.511,0.52,0.006,14,859.0,7.0,0.284,0.566,0.834,1.0,0.339,,5.611,0.227
002,1.586,0.105,0.178,0.019,0.51,0.524,0.523,0.533,0.51,0.52,0.009,15,611.0,9.0,0.285,0.303,0.634,3.0,0.242,,5.645,0.71
002,3.381,0.149,0.365,0.017,0.513,0.52,0.524,0.527,0.515,0.52,0.005,16,1063.0,9.0,0.223,0.705,0.938,2.0,0.147,,5.562,1.704
002,3.336,0.117,0.398,0.012,0.515,0.522,0.525,0.521,0.515,0.52,0.004,17,1154.0,13.0,0.164,0.619,0.945,5.0,0.325,,2.443,1.612
002,3.069,0.104,0.32,0.005,0.515,0.52,0.527,0.522,0.514,0.52,0.005,18,1136.0,13.0,0.285,0.393,0.897,2.0,0.072,,7.246,4.153
002,2.223,0.059,0.218,0.011,0.511,0.52,0.519,0.527,0.519,0.519,0.005,19,985.0,8.0,0.285,0.392,0.845,8.0,0.545,,2.414,0.985
002,2.405,0.123,0.22,0.011,0.521,0.524,0.525,0.521,0.507,0.519,0.007,20,1142.0,6.0,0.299,0.41,0.888,11.0,0.343,,3.823,0.571
