run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,rf__n_estimators,rf__min_samples_split,rf__min_samples_leaf,rf__max_features,rf__max_depth,rf__class_weight,rf__bootstrap
001,6.746,0.134,0.174,0.01,0.629,0.634,0.643,0.633,0.62,0.632,0.008,13,500,10,4,log2,5,balanced,True
001,6.912,0.279,0.256,0.027,0.63,0.629,0.643,0.643,0.614,0.632,0.011,14,500,10,2,sqrt,8,balanced,True
001,15.474,0.131,0.252,0.014,0.627,0.636,0.644,0.635,0.616,0.632,0.009,15,800,5,1,log2,5,balanced_subsample,True
001,5.535,0.164,0.165,0.058,0.629,0.633,0.647,0.64,0.609,0.632,0.013,16,300,10,4,log2,8,balanced,True
001,9.494,0.452,0.175,0.012,0.629,0.635,0.642,0.633,0.617,0.631,0.008,17,500,5,4,log2,5,balanced_subsample,True
001,7.573,0.208,0.244,0.01,0.631,0.63,0.639,0.632,0.625,0.631,0.004,18,800,2,4,sqrt,4,balanced,True
001,4.931,0.068,0.1,0.005,0.626,0.631,0.641,0.631,0.626,0.631,0.005,19,300,10,4,sqrt,4,balanced_subsample,True
001,4.44,0.23,0.161,0.009,0.629,0.633,0.638,0.63,0.626,0.631,0.004,20,500,2,4,sqrt,4,balanced,True
002,7.833,0.204,0.177,0.009,0.633,0.636,0.646,0.638,0.62,0.635,0.008,1,450,2,3,sqrt,6,balanced_subsample,True
002,5.404,0.266,0.182,0.014,0.63,0.636,0.644,0.637,0.625,0.634,0.006,2,582,3,1,sqrt,5,balanced,True
002,10.346,0.187,0.23,0.01,0.634,0.635,0.648,0.637,0.618,0.634,0.01,3,587,5,3,sqrt,6,balanced_subsample,True
002,4.839,0.213,0.101,0.002,0.629,0.633,0.64,0.637,0.632,0.634,0.004,4,330,4,3,sqrt,4,balanced_subsample,True
002,3.436,0.185,0.114,0.003,0.628,0.633,0.642,0.638,0.63,0.634,0.005,5,415,2,2,sqrt,4,balanced,True
002,3.408,0.152,0.134,0.014,0.631,0.636,0.643,0.635,0.625,0.634,0.006,6,353,4,2,sqrt,5,balanced,True
002,5.062,0.151,0.17,0.007,0.63,0.632,0.643,0.636,0.628,0.634,0.005,7,558,3,2,sqrt,4,balanced,True
002,6.024,0.163,0.206,0.006,0.629,0.637,0.644,0.636,0.621,0.634,0.008,8,584,2,1,sqrt,5,balanced,True
002,3.331,0.12,0.109,0.003,0.632,0.634,0.649,0.637,0.616,0.634,0.011,9,327,4,1,sqrt,6,balanced,True
002,9.81,0.213,0.201,0.01,0.632,0.633,0.647,0.64,0.616,0.634,0.01,10,588,4,1,sqrt,6,balanced_subsample,True
002,6.891,0.326,0.159,0.01,0.632,0.632,0.648,0.639,0.618,0.634,0.01,11,398,2,1,sqrt,6,balanced_subsample,True
002,3.707,0.057,0.127,0.005,0.632,0.631,0.645,0.638,0.622,0.634,0.008,12,365,5,2,sqrt,6,balanced,True
002,3.458,0.081,0.119,0.005,0.632,0.632,0.647,0.636,0.621,0.633,0.008,13,336,5,2,sqrt,5,balanced,True
002,8.357,0.269,0.177,0.01,0.629,0.633,0.646,0.638,0.622,0.633,0.008,14,567,2,3,sqrt,5,balanced_subsample,True
002,6.303,0.052,0.129,0.004,0.629,0.634,0.643,0.636,0.626,0.633,0.006,15,435,2,1,sqrt,5,balanced_subsample,True
002,4.032,0.101,0.142,0.008,0.63,0.635,0.643,0.637,0.622,0.633,0.007,16,398,2,1,sqrt,5,balanced,True
002,4.556,0.208,0.152,0.008,0.633,0.636,0.643,0.635,0.62,0.633,0.008,17,391,3,1,sqrt,6,balanced,True
002,4.672,0.206,0.178,0.039,0.629,0.634,0.647,0.641,0.616,0.633,0.011,18,371,4,3,sqrt,7,balanced,True
002,8.006,0.371,0.173,0.016,0.629,0.632,0.645,0.635,0.625,0.633,0.007,19,495,4,1,sqrt,5,balanced_subsample,True
002,9.037,0.172,0.202,0.011,0.629,0.638,0.645,0.638,0.617,0.633,0.01,20,584,2,2,sqrt,6,balanced_subsample,True
