run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,xgb__scale_pos_weight,xgb__colsample_bytree,xgb__gamma,xgb__learning_rate,xgb__max_depth,xgb__min_child_weight,xgb__n_estimators,xgb__reg_alpha,xgb__reg_lambda,xgb__subsample
002,1.63,0.057,0.089,0.009,0.533,0.542,0.547,0.542,0.524,0.538,0.008,5,,0.768,0.845,0.132,12.0,1.0,799.0,4.654,8.016,0.956
002,1.792,0.06,0.091,0.007,0.532,0.545,0.547,0.542,0.521,0.537,0.01,6,,0.823,2.697,0.082,13.0,10.0,909.0,1.05,3.449,0.842
002,2.198,0.218,0.136,0.017,0.533,0.541,0.545,0.544,0.523,0.537,0.008,7,,0.918,1.876,0.06,13.0,3.0,1059.0,2.282,2.436,0.827
002,6.262,0.32,0.529,0.035,0.537,0.542,0.541,0.542,0.521,0.537,0.008,8,,0.926,0.402,0.015,10.0,12.0,1062.0,1.064,0.895,0.868
002,1.636,0.052,0.062,0.004,0.538,0.54,0.54,0.542,0.522,0.536,0.007,9,,0.801,3.079,0.212,12.0,2.0,922.0,0.306,1.375,0.759
002,1.814,0.067,0.128,0.006,0.535,0.536,0.548,0.543,0.52,0.536,0.009,10,,0.86,2.323,0.034,14.0,7.0,688.0,3.664,1.413,0.916
002,2.001,0.087,0.14,0.005,0.536,0.539,0.544,0.54,0.521,0.536,0.008,11,,0.772,1.133,0.065,13.0,5.0,919.0,5.396,8.494,0.857
002,2.847,0.3,0.183,0.027,0.535,0.544,0.544,0.531,0.524,0.536,0.008,12,,0.981,1.084,0.122,12.0,8.0,960.0,2.097,3.306,0.638
002,2.157,0.075,0.153,0.005,0.532,0.541,0.542,0.543,0.522,0.536,0.008,13,,0.979,1.248,0.034,11.0,10.0,428.0,2.725,3.1,0.613
002,2.783,0.118,0.236,0.037,0.532,0.54,0.545,0.543,0.52,0.536,0.009,14,,0.936,2.395,0.022,12.0,2.0,1122.0,1.599,9.964,0.985
002,2.637,0.163,0.153,0.007,0.531,0.549,0.538,0.539,0.522,0.536,0.009,15,,0.921,1.514,0.139,10.0,2.0,873.0,2.82,3.164,0.539
002,2.08,0.122,0.139,0.007,0.533,0.543,0.541,0.54,0.521,0.536,0.008,16,,0.843,0.927,0.114,12.0,2.0,884.0,0.847,4.364,0.851
002,1.125,0.016,0.047,0.003,0.531,0.541,0.542,0.542,0.521,0.535,0.008,17,,0.825,1.318,0.194,13.0,6.0,606.0,1.804,4.787,0.921
002,1.159,0.051,0.056,0.005,0.534,0.54,0.54,0.544,0.52,0.535,0.008,18,,0.797,2.201,0.121,13.0,10.0,437.0,1.168,2.059,0.633
002,1.859,0.168,0.092,0.008,0.533,0.537,0.547,0.541,0.518,0.535,0.01,19,,0.889,1.058,0.065,10.0,10.0,916.0,6.137,3.618,0.893
002,2.416,0.103,0.17,0.018,0.532,0.546,0.537,0.538,0.524,0.535,0.007,20,,0.618,0.738,0.056,10.0,10.0,760.0,3.016,2.713,0.77
